sample_id,semantic_length,audio_frames,shift,codec_ce,mean_accuracy,q0_accuracy,residual_accuracy,q0_ce,residual_ce,ar_mean_accuracy,ar_q0_accuracy,ar_residual_accuracy,ar_unique_codes,ar_code_entropy,ar_sha256
ulsan_006016,8,26,0,5.985283762216568,0.06009615585207939,0.23076924681663513,0.04871794953942299,3.762415885925293,6.13347495396932,0.004807692486792803,0.03846153989434242,0.0025641026441007853,60,3.3823914527893066,e5713712cbcc5c1c235b75a33c46f3e362ac3cefdccdbc7497f54db32b01d825
ulsan_006016,8,26,4,5.995790719985962,0.06490384787321091,0.23076924681663513,0.05384615436196327,4.014097213745117,6.1279036204020185,0.009615384973585606,0.03846153989434242,0.007692307699471712,34,3.090315341949463,edb847bcea88a3ac1dd5a715c86792fa2e2497d69887e1e43e7a514cb1b876b4
ulsan_006016,8,26,8,5.998560070991516,0.05769231170415878,0.23076924681663513,0.04615384712815285,3.963365077972412,6.1342397371927895,0.004807692486792803,0.03846153989434242,0.0025641026441007853,53,3.3118040561676025,1013dfbd5273683ba718ae90959a50731465051130e23b17105cc52ae012bb1b
ulsan_006016,8,26,16,5.9974740743637085,0.06009615585207939,0.23076924681663513,0.04871794953942299,4.001443862915039,6.130542755126953,0.004807692486792803,0.03846153989434242,0.0025641026441007853,58,3.3726344108581543,e6957df9a3fa5d7e73ca624e4a8fee2475935a59c68e1200a4235f8654474b4c
ulsan_006016,8,26,24,5.997155427932739,0.06009615585207939,0.23076924681663513,0.04871794953942299,3.9922609329223633,6.130815060933431,0.004807692486792803,0.03846153989434242,0.0025641026441007853,58,3.364497423171997,c0adbec8e8d5ff1dc25ce55438b503673b6cc96271a205f87d9a355af7ea6cf6
ulsan_006016,8,26,32,5.998999208211899,0.06009615585207939,0.23076924681663513,0.04871794953942299,4.004307270050049,6.131978670756022,0.009615384973585606,0.03846153989434242,0.007692307699471712,37,3.136873960494995,0646733769a2113d8213c1fe00cf76db1c7149655ff5c7e943d5b4e4d279b866
ulsan_022355,15,42,0,6.340930759906769,0.032738097012043,0.1666666716337204,0.02380952425301075,4.116709232330322,6.489212195078532,0.010416666977107525,0.0476190485060215,0.007936508394777775,199,4.50882625579834,d04369ba58b94f3320d8c1fd582f56c8cf18ccb88d9959381645d57df279a281
ulsan_022355,15,42,4,6.3458883464336395,0.032738097012043,0.1428571492433548,0.02539682574570179,4.173703193664551,6.490700689951579,0.011904762126505375,0.0476190485060215,0.009523809887468815,50,3.2401084899902344,7415e61d8a67949d0ed36cd0621709234c5bb05b8dddb7c10476b509432031b2
ulsan_022355,15,42,8,6.347764641046524,0.03125,0.1190476194024086,0.02539682574570179,4.1718010902404785,6.492828877766927,0.011904762126505375,0.0476190485060215,0.009523809887468815,199,4.551538944244385,a25baf3abb1cef8a20bf475093339579a41a8362df0a4200349ab1fff7108085
ulsan_022355,15,42,16,6.349319756031036,0.032738097012043,0.1428571492433548,0.02539682574570179,4.176230430603027,6.494192377726237,0.013392857275903225,0.0476190485060215,0.011111111380159855,282,4.958213806152344,60163a80cb495a7d68e1fb4dec55a654299830a139f3b81f239f6f3b50bd91c1
ulsan_022355,15,42,24,6.352131247520447,0.03125,0.1190476194024086,0.02539682574570179,4.186319351196289,6.49651870727539,0.008928571827709675,0.0476190485060215,0.0063492064364254475,182,4.367632865905762,bfb3ad53659031bc8788b298b6416ff99ad4ddc48a25d202e1384cb45358979a
ulsan_022355,15,42,32,6.352440267801285,0.02976190485060215,0.1190476194024086,0.02380952425301075,4.201174259185791,6.495858001708984,0.011904762126505375,0.0476190485060215,0.009523809887468815,54,3.2312049865722656,ce0b1adcbf31ef85404edd41d33e89eb09d1424038857fd005bdf38093a5c756
ulsan_017793,22,44,0,6.347432971000671,0.04119318351149559,0.13636364042758942,0.03484848514199257,4.365066051483154,6.479590765635172,0.011363636702299118,0.0,0.012121211737394333,49,3.2070295810699463,dcf3cfb258dae5b9199352015df30c7ea4676196ed891c6a36d91faabc99f3c0
ulsan_017793,22,44,4,6.348847717046738,0.039772726595401764,0.11363636702299118,0.03484848514199257,4.375833511352539,6.480381997426351,0.009943181648850441,0.022727273404598236,0.00909090880304575,319,5.2503275871276855,37dcfd51603e754e7881032d8efa9097ec272be3d4489f3f3f172cb1f2a83cd2
ulsan_017793,22,44,8,6.348700255155563,0.038352273404598236,0.11363636702299118,0.03333333134651184,4.375353813171387,6.4802566846211755,0.01278409082442522,0.0,0.013636363670229912,43,3.1923465728759766,f5d1f83f5920296189889a4581d71badac071838ef797f0fd967dc994814b454
ulsan_017793,22,44,16,6.350697547197342,0.039772726595401764,0.11363636702299118,0.03484848514199257,4.395516872406006,6.481042925516764,0.011363636702299118,0.0,0.012121211737394333,46,3.2042794227600098,30990b825fa59776a021c5fae3af3bf56dd2d044906a8d3b4a897a0dcb592a42
ulsan_017793,22,44,24,6.349767446517944,0.038352273404598236,0.11363636702299118,0.03333333134651184,4.383480548858643,6.480853239695231,0.01278409082442522,0.0,0.013636363670229912,37,3.1249701976776123,9d911a07512e30098abd837e7bc603405bb17e02e66b95eaae32b9562f712c1e
ulsan_017793,22,44,32,6.350027024745941,0.04119318351149559,0.09090909361839294,0.03787878528237343,4.354382038116455,6.483070023854574,0.005681818351149559,0.0,0.0060606058686971664,264,4.9587721824646,ebf1a3e7d16f5bd3f6e1b6d224cce0c6c77cd9c5af4d4d38f6cea29f938df515
ulsan_002080,49,75,0,6.597157269716263,0.03666666895151138,0.1066666692495346,0.03200000151991844,4.988785743713379,6.704382038116455,0.010833333246409893,0.013333333656191826,0.01066666655242443,46,3.069302558898926,cf90b6bd87afbeb983ec4ae2a8e4bc088a0350ef49a25005927ccf09b0a5a5c0
ulsan_002080,49,75,4,6.595574080944061,0.03750000149011612,0.09333333373069763,0.03377777710556984,4.98638916015625,6.702853075663248,0.009166666306555271,0.013333333656191826,0.008888889104127884,51,3.1016972064971924,995de825e1da5e2ef2a28cd467b2cccd46ec42c3df8e442dea4f08177b307844
ulsan_002080,49,75,8,6.593755483627319,0.03666666895151138,0.1066666692495346,0.03200000151991844,4.943884372711182,6.703746891021728,0.008333333767950535,0.013333333656191826,0.00800000037997961,51,3.1040546894073486,dd864a6c121b0a8c72c9578e709af38a8a2c4e63da847347a72847c8c70aff2a
ulsan_002080,49,75,16,6.596481263637543,0.04083333536982536,0.12000000476837158,0.035555556416511536,4.962777137756348,6.705394872029623,0.009166666306555271,0.013333333656191826,0.008888889104127884,51,3.108048677444458,26c0bd759fdf1b9a480ef76ee90b256f1e432ee8da9923ed8a598ea6766ab0f4
ulsan_002080,49,75,24,6.596170365810394,0.03750000149011612,0.12000000476837158,0.03200000151991844,4.986173629760742,6.703503481547037,0.009166666306555271,0.013333333656191826,0.008888889104127884,51,3.0865561962127686,35c103ac61307629e7975973e866b26c74f0691b67f5a9213ef932d9f20c98a2
ulsan_002080,49,75,32,6.594373881816864,0.03750000149011612,0.12000000476837158,0.03200000151991844,4.962499618530273,6.7031654993693035,0.009166666306555271,0.013333333656191826,0.008888889104127884,49,3.0877432823181152,2d0655c8537858533b7bf2b9c2161d7a04f43ba6d2985966cceaeb2b13299ca3
