epoch,sample_id,mode,codec_ce,mean_accuracy,q0_accuracy,residual_accuracy,q0_ce,residual_ce,kl_from_correct,mean_abs_logit_diff
10,ulsan_000006,correct,5.879927098751068,0.0494791679084301,0.1666666716337204,0.0416666679084301,4.075062274932861,6.000251420338949,0.0,0.0
10,ulsan_000006,same,5.879927098751068,0.0494791679084301,0.1666666716337204,0.0416666679084301,4.075062274932861,6.000251420338949,4.0987896410271674e-10,0.0
10,ulsan_000006,zero,6.083659917116165,0.03515625,0.02083333395421505,0.03611111268401146,5.089897632598877,6.149910736083984,0.21356427669525146,0.3936203718185425
10,ulsan_000006,random,6.047916799783707,0.0390625,0.125,0.03333333507180214,4.990767955780029,6.118393389383952,0.1669130176305771,0.3380318582057953
10,ulsan_000006,shuffled,5.890749454498291,0.05078125,0.1666666716337204,0.04305555671453476,4.193508625030518,6.003898843129476,0.014120213687419891,0.08848890662193298
10,ulsan_001843,correct,6.576276183128357,0.05312500149011612,0.20000000298023224,0.04333333298563957,5.0531086921691895,6.677820682525635,0.0,0.0
10,ulsan_001843,same,6.576276183128357,0.05312500149011612,0.20000000298023224,0.04333333298563957,5.0531086921691895,6.677820682525635,4.773028083882025e-10,0.0
10,ulsan_001843,zero,6.878840088844299,0.01875000074505806,0.0,0.019999999552965164,7.103877067565918,6.863837623596192,0.3693667948246002,0.4585760235786438
10,ulsan_001843,random,6.762803673744202,0.03125,0.05000000074505806,0.030000001192092896,6.060323238372803,6.809635702768961,0.28783664107322693,0.4708636403083801
10,ulsan_001843,shuffled,6.5726896822452545,0.05625000223517418,0.20000000298023224,0.046666666865348816,5.076556205749512,6.6724319140116375,0.007046616170555353,0.06382802873849869
10,ulsan_003503,correct,5.958158940076828,0.094618059694767,0.2083333283662796,0.08703703433275223,4.448894023895264,6.058776601155599,0.0,0.0
10,ulsan_003503,same,5.958158940076828,0.094618059694767,0.2083333283662796,0.08703703433275223,4.448894023895264,6.058776601155599,1.0125708049812943e-09,0.0
10,ulsan_003503,zero,6.23290628194809,0.0668402761220932,0.125,0.06296296417713165,5.8523406982421875,6.258277320861817,0.30992329120635986,0.47591549158096313
10,ulsan_003503,random,6.238183259963989,0.0798611119389534,0.0972222238779068,0.07870370149612427,5.721126079559326,6.272653738657634,0.2741866111755371,0.46113577485084534
10,ulsan_003503,shuffled,5.956778436899185,0.094618059694767,0.2083333283662796,0.08703703433275223,4.405964374542236,6.060166041056315,0.008887899108231068,0.07538585364818573
10,ulsan_004854,correct,6.636765390634537,0.026442307978868484,0.17307692766189575,0.01666666753590107,5.0847930908203125,6.740230210622152,0.0,0.0
10,ulsan_004854,same,6.636765390634537,0.026442307978868484,0.17307692766189575,0.01666666753590107,5.0847930908203125,6.740230210622152,1.5447418344471942e-10,0.0
10,ulsan_004854,zero,6.873943984508514,0.016826923936605453,0.01923076994717121,0.01666666753590107,7.1495537757873535,6.855569998423259,0.30628758668899536,0.45557457208633423
10,ulsan_004854,random,7.019104033708572,0.01923076994717121,0.05769231170415878,0.01666666753590107,6.923454761505127,7.025480651855469,0.4560581147670746,0.5962004065513611
10,ulsan_004854,shuffled,6.6391182243824005,0.024038461968302727,0.1538461595773697,0.015384616330265999,5.116467475891113,6.7406282742818195,0.010240394622087479,0.0828799232840538
10,ulsan_006234,correct,6.386929154396057,0.05427631735801697,0.28947368264198303,0.038596492260694504,4.823009490966797,6.491190465291341,0.0,0.0
10,ulsan_006234,same,6.386929154396057,0.05427631735801697,0.28947368264198303,0.038596492260694504,4.823009490966797,6.491190465291341,1.347966877007778e-10,0.0
10,ulsan_006234,zero,6.584025979042053,0.04440789669752121,0.15789473056793213,0.03684210777282715,6.320433616638184,6.601598803202311,0.27589839696884155,0.43125322461128235
10,ulsan_006234,random,6.846636861562729,0.02302631549537182,0.1315789520740509,0.015789473429322243,7.130626678466797,6.827704207102458,0.5082558393478394,0.5934662222862244
10,ulsan_006234,shuffled,6.388375550508499,0.055921051651239395,0.2631579041481018,0.04210526496171951,4.869422435760498,6.489639091491699,0.008371194824576378,0.06527652591466904
10,ulsan_007570,correct,6.099491119384766,0.052734375,0.1875,0.04375000298023224,4.824278354644775,6.184505303700765,0.0,0.0
10,ulsan_007570,same,6.099491119384766,0.052734375,0.1875,0.04375000298023224,4.824278354644775,6.184505303700765,1.1641532182693481e-10,0.0
10,ulsan_007570,zero,6.353271782398224,0.033203125,0.09375,0.02916666865348816,6.131161689758301,6.368079121907552,0.31921520829200745,0.45070216059684753
10,ulsan_007570,random,6.553818374872208,0.029296875,0.09375,0.02500000223517418,6.164507865905762,6.579772408803304,0.45235970616340637,0.5619674324989319
10,ulsan_007570,shuffled,6.102808654308319,0.05859375,0.21875,0.04791666939854622,4.904391765594482,6.182703113555908,0.006386997178196907,0.052937060594558716
10,ulsan_009117,correct,6.441075086593628,0.0267857164144516,0.0892857164144516,0.02261904813349247,5.2180938720703125,6.522607167561849,0.0,0.0
10,ulsan_009117,same,6.441075086593628,0.0267857164144516,0.0892857164144516,0.02261904813349247,5.2180938720703125,6.522607167561849,3.326152200888721e-11,0.0
10,ulsan_009117,zero,6.700588911771774,0.02455357275903225,0.01785714365541935,0.02500000037252903,6.9023003578186035,6.687141482035319,0.33002158999443054,0.4887423813343048
10,ulsan_009117,random,6.644458532333374,0.0200892873108387,0.01785714365541935,0.02023809589445591,6.451539039611816,6.657319831848144,0.2565707564353943,0.4297802448272705
10,ulsan_009117,shuffled,6.447584271430969,0.0301339291036129,0.125,0.02380952425301075,5.258182048797607,6.52687775293986,0.011875524185597897,0.0762445479631424
10,ulsan_010526,correct,6.320871472358704,0.04619565233588219,0.14492753148078918,0.039613526314496994,4.863278865814209,6.418044312795003,0.0,0.0
10,ulsan_010526,same,6.320871472358704,0.04619565233588219,0.14492753148078918,0.039613526314496994,4.863278865814209,6.418044312795003,5.386317503131011e-10,0.0
10,ulsan_010526,zero,6.591813892126083,0.03804348036646843,0.07246376574039459,0.035748790949583054,6.690335273742676,6.585245800018311,0.29700741171836853,0.464417964220047
10,ulsan_010526,random,6.513226002454758,0.04076087102293968,0.11594203114509583,0.035748790949583054,5.922125339508057,6.5526327133178714,0.2027074247598648,0.38443031907081604
10,ulsan_010526,shuffled,6.341702193021774,0.047101449221372604,0.17391304671764374,0.03864734247326851,4.939720630645752,6.435167630513509,0.014019128866493702,0.1090659573674202
10,ulsan_011947,correct,6.290010064840317,0.026442307978868484,0.1538461595773697,0.01794871874153614,4.4232401847839355,6.414461390177409,0.0,0.0
10,ulsan_011947,same,6.290010064840317,0.026442307978868484,0.1538461595773697,0.01794871874153614,4.4232401847839355,6.414461390177409,-3.940210935304833e-10,0.0
10,ulsan_011947,zero,6.612978577613831,0.016826923936605453,0.03846153989434242,0.015384616330265999,6.842890739440918,6.597651100158691,0.340316504240036,0.4842824637889862
10,ulsan_011947,random,6.604766935110092,0.026442307978868484,0.07692307978868484,0.023076923564076424,6.364139080047607,6.620808792114258,0.35892513394355774,0.5481635332107544
10,ulsan_011947,shuffled,6.3019949197769165,0.02884615585207939,0.1538461595773697,0.020512821152806282,4.4977569580078125,6.422277450561523,0.023133939132094383,0.10879344493150711
10,ulsan_013408,correct,5.74911093711853,0.12321428954601288,0.20000000298023224,0.11809523403644562,4.330978870391846,5.843653074900309,0.0,0.0
