epoch,left,right,overlap_frames,mean_token_agreement,q0_agreement,residual_agreement,exact_sequence_same
8,1,2,100,0.5975000262260437,0.8399999737739563,0.581333339214325,False
8,1,3,100,0.574999988079071,0.8600000143051147,0.5559999942779541,False
8,1,4,100,0.5625,0.8600000143051147,0.5426666736602783,False
8,1,5,100,0.5668749809265137,0.8799999952316284,0.5460000038146973,False
8,1,6,100,0.4699999988079071,0.8799999952316284,0.4426666796207428,False
8,1,7,100,0.48875001072883606,0.8700000047683716,0.4633333384990692,False
8,1,8,100,0.543749988079071,0.8700000047683716,0.5220000147819519,False
8,1,9,100,0.6481249928474426,0.5,0.6579999923706055,False
8,1,10,100,0.6068750023841858,0.8600000143051147,0.5899999737739563,False
8,1,11,100,0.5643749833106995,0.8799999952316284,0.5433333516120911,False
8,1,12,100,0.5306249856948853,0.8600000143051147,0.5086666941642761,False
8,1,13,100,0.5525000095367432,0.8799999952316284,0.5306666493415833,False
8,1,14,100,0.46812498569488525,0.8700000047683716,0.4413333237171173,False
8,1,15,100,0.5012500286102295,0.8799999952316284,0.47600001096725464,False
8,1,16,100,0.5249999761581421,0.8799999952316284,0.5013333559036255,False
8,1,17,100,0.606249988079071,0.8700000047683716,0.5886666774749756,False
8,1,18,29,0.1681034415960312,0.3103448152542114,0.158620685338974,False
8,1,19,100,0.5306249856948853,0.8700000047683716,0.5080000162124634,False
8,1,20,100,0.5699999928474426,0.8799999952316284,0.5493333339691162,False
8,2,3,100,0.9131249785423279,0.9800000190734863,0.9086666703224182,False
8,2,4,100,0.9037500023841858,0.9800000190734863,0.8986666798591614,False
8,2,5,100,0.8818749785423279,0.9599999785423279,0.8766666650772095,False
8,2,6,100,0.706250011920929,0.9599999785423279,0.6893333196640015,False
8,2,7,100,0.5256249904632568,0.9700000286102295,0.4959999918937683,False
8,2,8,100,0.8662499785423279,0.9700000286102295,0.859333336353302,False
8,2,9,100,0.47999998927116394,0.47999998927116394,0.47999998927116394,False
8,2,10,100,0.9674999713897705,0.9800000190734863,0.9666666388511658,False
8,2,11,100,0.8512499928474426,0.9599999785423279,0.843999981880188,False
8,2,12,100,0.8462499976158142,0.9800000190734863,0.8373333215713501,False
8,2,13,100,0.8368750214576721,0.9599999785423279,0.8286666870117188,False
8,2,14,100,0.5699999928474426,0.9700000286102295,0.5433333516120911,False
8,2,15,100,0.8106250166893005,0.9599999785423279,0.8006666898727417,False
8,2,16,100,0.8374999761581421,0.9599999785423279,0.8293333053588867,False
8,2,17,100,0.9512500166893005,0.9700000286102295,0.949999988079071,False
8,2,18,29,0.16163793206214905,0.24137930572032928,0.15632183849811554,False
8,2,19,100,0.8462499976158142,0.9700000286102295,0.8379999995231628,False
8,2,20,100,0.9100000262260437,0.9599999785423279,0.9066666960716248,False
8,3,4,100,0.9449999928474426,1.0,0.9413333535194397,False
8,3,5,100,0.9162499904632568,0.9800000190734863,0.9120000004768372,False
8,3,6,100,0.7568749785423279,0.9800000190734863,0.7419999837875366,False
8,3,7,100,0.5237500071525574,0.9900000095367432,0.49266666173934937,False
8,3,8,100,0.9006249904632568,0.9900000095367432,0.8946666717529297,False
8,3,9,100,0.4424999952316284,0.46000000834465027,0.4413333237171173,False
8,3,10,100,0.9281250238418579,1.0,0.9233333468437195,False
8,3,11,100,0.9231250286102295,0.9800000190734863,0.9193333387374878,False
8,3,12,100,0.8962500095367432,1.0,0.8893333077430725,False
8,3,13,100,0.893750011920929,0.9800000190734863,0.8880000114440918,False
8,3,14,100,0.6018750071525574,0.9900000095367432,0.5759999752044678,False
8,3,15,100,0.846875011920929,0.9800000190734863,0.8379999995231628,False
8,3,16,100,0.875,0.9800000190734863,0.8679999709129333,False
