epoch,sample_id,switch_frame,frame,relative_to_switch,frame_token_accuracy,q0_correct,residual_accuracy,cumulative_token_accuracy,stop_probability,teacher_frame_token_accuracy,teacher_q0_correct
10,ulsan_000006,12,2,-10,0.0625,1.0,0.0,0.0625,0.00150299072265625,0.125,1.0
10,ulsan_000006,12,3,-9,0.0,0.0,0.0,0.046875,0.00186920166015625,0.0625,0.0
10,ulsan_000006,12,4,-8,0.0,0.0,0.0,0.03750000149011612,0.0023956298828125,0.125,0.0
10,ulsan_000006,12,5,-7,0.0,0.0,0.0,0.03125,0.0021820068359375,0.0625,0.0
10,ulsan_000006,12,6,-6,0.0,0.0,0.0,0.02678571455180645,0.00128173828125,0.0,0.0
10,ulsan_000006,12,7,-5,0.0,0.0,0.0,0.0234375,0.00075531005859375,0.0,0.0
10,ulsan_000006,12,8,-4,0.0,0.0,0.0,0.02083333395421505,0.000732421875,0.0,0.0
10,ulsan_000006,12,9,-3,0.0,0.0,0.0,0.01875000074505806,0.000881195068359375,0.0,0.0
10,ulsan_000006,12,10,-2,0.0,0.0,0.0,0.017045455053448677,0.00186920166015625,0.125,0.0
10,ulsan_000006,12,11,-1,0.1875,0.0,0.20000000298023224,0.03125,0.0038299560546875,0.125,0.0
10,ulsan_000006,12,12,0,0.0,0.0,0.0,0.028846153989434242,0.003082275390625,0.125,0.0
10,ulsan_000006,12,13,1,0.25,1.0,0.20000000298023224,0.0446428582072258,0.006683349609375,0.25,1.0
10,ulsan_000006,12,14,2,0.0,0.0,0.0,0.0416666679084301,0.0140380859375,0.0625,0.0
10,ulsan_000006,12,15,3,0.1875,0.0,0.20000000298023224,0.05078125,0.007568359375,0.3125,0.0
10,ulsan_000006,12,16,4,0.0,0.0,0.0,0.04779411852359772,0.0078125,0.0625,1.0
10,ulsan_000006,12,17,5,0.0,0.0,0.0,0.0451388880610466,0.00860595703125,0.0,0.0
10,ulsan_000006,12,18,6,0.0,0.0,0.0,0.042763158679008484,0.007568359375,0.0625,0.0
10,ulsan_000006,12,19,7,0.0,0.0,0.0,0.04062499850988388,0.00830078125,0.0,0.0
10,ulsan_000006,12,20,8,0.0,0.0,0.0,0.0386904776096344,0.008056640625,0.0,0.0
10,ulsan_000006,12,21,9,0.0,0.0,0.0,0.03693181648850441,0.00830078125,0.0,0.0
10,ulsan_000006,12,22,10,0.0,0.0,0.0,0.03532608598470688,0.00860595703125,0.0,0.0
10,ulsan_000006,12,23,11,0.0,0.0,0.0,0.0338541679084301,0.00885009765625,0.0,0.0
10,ulsan_000006,12,24,12,0.0,0.0,0.0,0.032499998807907104,0.010009765625,0.0625,0.0
10,ulsan_000006,12,25,13,0.0,0.0,0.0,0.03125,0.0113525390625,0.0625,0.0
10,ulsan_000006,12,26,14,0.0,0.0,0.0,0.030092593282461166,0.01165771484375,0.0625,0.0
10,ulsan_000006,12,27,15,0.0,0.0,0.0,0.02901785634458065,0.0128173828125,0.0,0.0
10,ulsan_000006,12,28,16,0.0,0.0,0.0,0.02801724150776863,0.01324462890625,0.0,0.0
10,ulsan_000006,12,29,17,0.0,0.0,0.0,0.02708333358168602,0.01495361328125,0.0,0.0
10,ulsan_000006,12,30,18,0.0,0.0,0.0,0.026209676638245583,0.015869140625,0.0,0.0
10,ulsan_000006,12,31,19,0.0,0.0,0.0,0.025390625,0.0169677734375,0.0625,1.0
10,ulsan_000006,12,32,20,0.0,0.0,0.0,0.024621212854981422,0.0179443359375,0.0,0.0
10,ulsan_000006,12,33,21,0.0,0.0,0.0,0.02389705926179886,0.0179443359375,0.0625,1.0
10,ulsan_000006,12,34,22,0.0,0.0,0.0,0.02321428619325161,0.0191650390625,0.0625,0.0
10,ulsan_000006,12,35,23,0.0,0.0,0.0,0.0225694440305233,0.0203857421875,0.0625,0.0
10,ulsan_000006,12,36,24,0.0625,1.0,0.0,0.02364864945411682,0.02001953125,0.0,0.0
10,ulsan_000006,12,37,25,0.0,0.0,0.0,0.02302631549537182,0.00099945068359375,0.0,0.0
10,ulsan_000006,12,38,26,0.0,0.0,0.0,0.022435897961258888,0.000881195068359375,0.0625,0.0
10,ulsan_000006,12,39,27,0.0,0.0,0.0,0.02187499962747097,0.0006256103515625,0.0,0.0
10,ulsan_000006,12,40,28,0.0,0.0,0.0,0.021341463550925255,0.0023193359375,0.0,0.0
10,ulsan_000006,12,41,29,0.0,0.0,0.0,0.02083333395421505,0.00124359130859375,0.0625,0.0
10,ulsan_000006,12,42,30,0.0,0.0,0.0,0.020348837599158287,0.000881195068359375,0.0,0.0
10,ulsan_000006,12,43,31,0.0,0.0,0.0,0.019886363297700882,0.00116729736328125,0.0625,1.0
10,ulsan_000006,12,44,32,0.0,0.0,0.0,0.01944444514811039,0.0025482177734375,0.0,0.0
10,ulsan_000006,12,45,33,0.0,0.0,0.0,0.019021738320589066,0.0021209716796875,0.0625,0.0
10,ulsan_000006,12,46,34,0.0,0.0,0.0,0.018617020919919014,0.00159454345703125,0.0625,0.0
10,ulsan_000006,12,47,35,0.0,0.0,0.0,0.01822916604578495,0.002044677734375,0.0,0.0
10,ulsan_000006,24,0,-24,0.0625,1.0,0.0,0.0625,0.00170135498046875,0.0625,1.0
10,ulsan_000006,24,1,-23,0.0625,1.0,0.0,0.0625,0.00113677978515625,0.0625,1.0
10,ulsan_000006,24,2,-22,0.0625,1.0,0.0,0.0625,0.00150299072265625,0.125,1.0
10,ulsan_000006,24,3,-21,0.0,0.0,0.0,0.046875,0.00186920166015625,0.0625,0.0
10,ulsan_000006,24,4,-20,0.0,0.0,0.0,0.03750000149011612,0.0023956298828125,0.125,0.0
10,ulsan_000006,24,5,-19,0.0,0.0,0.0,0.03125,0.0021820068359375,0.0625,0.0
10,ulsan_000006,24,6,-18,0.0,0.0,0.0,0.02678571455180645,0.00128173828125,0.0,0.0
10,ulsan_000006,24,7,-17,0.0,0.0,0.0,0.0234375,0.00075531005859375,0.0,0.0
10,ulsan_000006,24,8,-16,0.0,0.0,0.0,0.02083333395421505,0.000732421875,0.0,0.0
10,ulsan_000006,24,9,-15,0.0,0.0,0.0,0.01875000074505806,0.000881195068359375,0.0,0.0
10,ulsan_000006,24,10,-14,0.0,0.0,0.0,0.017045455053448677,0.00186920166015625,0.125,0.0
10,ulsan_000006,24,11,-13,0.1875,0.0,0.20000000298023224,0.03125,0.0038299560546875,0.125,0.0
10,ulsan_000006,24,12,-12,0.0,0.0,0.0,0.028846153989434242,0.003082275390625,0.125,0.0
10,ulsan_000006,24,13,-11,0.1875,1.0,0.13333334028720856,0.0401785708963871,0.006103515625,0.25,1.0
10,ulsan_000006,24,14,-10,0.0,0.0,0.0,0.03750000149011612,0.00506591796875,0.0625,0.0
10,ulsan_000006,24,15,-9,0.1875,0.0,0.20000000298023224,0.046875,0.006500244140625,0.3125,0.0
10,ulsan_000006,24,16,-8,0.0625,1.0,0.0,0.04779411852359772,0.003173828125,0.0625,1.0
10,ulsan_000006,24,17,-7,0.0,0.0,0.0,0.0451388880610466,0.0013275146484375,0.0,0.0
