epoch,sample_id,mode,switch_frame,target_frames,generated_frames,length_ratio,mean_accuracy,q0_accuracy,residual_accuracy,per_q_accuracy,first_incorrect_frame,first_q0_incorrect_frame
6,ulsan_000006,normal_ar,0,48,31,0.6458333333333334,0.010080644860863686,0.032258063554763794,0.008602150281270345,"[0.032258063554763794, 0.0, 0.0, 0.032258063554763794, 0.032258063554763794, 0.0, 0.0, 0.032258063554763794, 0.0, 0.032258063554763794, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0,1
6,ulsan_000006,forced_gt_length,0,48,48,1.0,0.006510416860692203,0.02083333395421505,0.005555555721124013,"[0.02083333395421505, 0.0, 0.0, 0.02083333395421505, 0.02083333395421505, 0.0, 0.0, 0.02083333395421505, 0.0, 0.02083333395421505, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0,1
6,ulsan_000006,switch_rollout,12,48,48,1.0,0.019531249883584678,0.1458333283662796,0.011111111318071683,"[0.1458333283662796, 0.02083333395421505, 0.02083333395421505, 0.0, 0.0416666679084301, 0.0, 0.0, 0.02083333395421505, 0.0, 0.0, 0.0, 0.0625, 0.0, 0.0, 0.0, 0.0]",0,3
6,ulsan_000006,switch_rollout,24,48,48,1.0,0.016927083604969084,0.125,0.009722222511967023,"[0.125, 0.0416666679084301, 0.02083333395421505, 0.0, 0.02083333395421505, 0.02083333395421505, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02083333395421505, 0.0, 0.02083333395421505, 0.0, 0.0]",0,3
6,ulsan_000006,switch_rollout,38,48,48,1.0,0.02343750069849193,0.1666666716337204,0.013888889302810034,"[0.1666666716337204, 0.0416666679084301, 0.0416666679084301, 0.02083333395421505, 0.02083333395421505, 0.02083333395421505, 0.0, 0.0, 0.0, 0.02083333395421505, 0.0, 0.02083333395421505, 0.0, 0.02083333395421505, 0.0, 0.0]",0,3
6,ulsan_000006,teacher_forced,-1,48,48,1.0,0.05989583348855376,0.1875,0.05138888905445735,"[0.1875, 0.125, 0.0833333358168602, 0.1041666641831398, 0.1041666641831398, 0.0416666679084301, 0.0625, 0.0625, 0.0, 0.02083333395421505, 0.02083333395421505, 0.0416666679084301, 0.02083333395421505, 0.02083333395421505, 0.0625, 0.0]",0,3
6,ulsan_000429,normal_ar,0,14,18,1.2857142857142858,0.013392857741564512,0.1428571492433548,0.004761904974778493,"[0.1428571492433548, 0.0, 0.0, 0.0, 0.0714285746216774, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0,2
6,ulsan_000429,forced_gt_length,0,14,14,1.0,0.013392857741564512,0.1428571492433548,0.004761904974778493,"[0.1428571492433548, 0.0, 0.0, 0.0, 0.0714285746216774, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0,2
6,ulsan_000429,switch_rollout,3,14,14,1.0,0.013392857741564512,0.1428571492433548,0.004761904974778493,"[0.1428571492433548, 0.0, 0.0, 0.0, 0.0714285746216774, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0,1
6,ulsan_000429,switch_rollout,4,14,14,1.0,0.013392857741564512,0.1428571492433548,0.004761904974778493,"[0.1428571492433548, 0.0, 0.0, 0.0, 0.0714285746216774, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0,1
6,ulsan_000429,switch_rollout,7,14,14,1.0,0.013392857741564512,0.1428571492433548,0.004761904974778493,"[0.1428571492433548, 0.0, 0.0, 0.0, 0.0714285746216774, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0,1
6,ulsan_000429,teacher_forced,-1,14,14,1.0,0.03571428684517741,0.1428571492433548,0.028571429351965588,"[0.1428571492433548, 0.0, 0.0, 0.0714285746216774, 0.2142857164144516, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0714285746216774, 0.0, 0.0, 0.0714285746216774, 0.0, 0.0]",0,1
6,ulsan_000819,normal_ar,0,42,250,5.9523809523809526,0.0029761905316263437,0.02380952425301075,0.0015873016168673833,"[0.02380952425301075, 0.0, 0.0, 0.02380952425301075, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0,1
6,ulsan_000819,forced_gt_length,0,42,42,1.0,0.0029761905316263437,0.02380952425301075,0.0015873016168673833,"[0.02380952425301075, 0.0, 0.0, 0.02380952425301075, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0,1
6,ulsan_000819,switch_rollout,10,42,42,1.0,0.011904762242920697,0.0714285746216774,0.007936508084336916,"[0.0714285746216774, 0.0476190485060215, 0.0, 0.0476190485060215, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02380952425301075, 0.0, 0.0, 0.0, 0.0, 0.0]",0,1
6,ulsan_000819,switch_rollout,21,42,42,1.0,0.013392857741564512,0.0714285746216774,0.009523809949556986,"[0.0714285746216774, 0.0714285746216774, 0.0, 0.0714285746216774, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0,1
6,ulsan_000819,switch_rollout,32,42,42,1.0,0.013392857741564512,0.0714285746216774,0.009523809949556986,"[0.0714285746216774, 0.0714285746216774, 0.0, 0.0714285746216774, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0,1
6,ulsan_000819,teacher_forced,-1,42,42,1.0,0.03125000058207661,0.1190476194024086,0.025396825994054475,"[0.1190476194024086, 0.1428571492433548, 0.02380952425301075, 0.1190476194024086, 0.0, 0.0476190485060215, 0.02380952425301075, 0.0, 0.0, 0.0, 0.0, 0.02380952425301075, 0.0, 0.0, 0.0, 0.0]",0,1
6,ulsan_001087,normal_ar,0,71,250,3.5211267605633805,0.014084506779909134,0.028169013559818268,0.013145539661248524,"[0.028169013559818268, 0.014084506779909134, 0.028169013559818268, 0.056338027119636536, 0.0, 0.0, 0.028169013559818268, 0.0, 0.0, 0.028169013559818268, 0.0, 0.028169013559818268, 0.0, 0.014084506779909134, 0.0, 0.0]",0,2
6,ulsan_001087,forced_gt_length,0,71,71,1.0,0.014084506779909134,0.028169013559818268,0.013145539661248524,"[0.028169013559818268, 0.014084506779909134, 0.028169013559818268, 0.056338027119636536, 0.0, 0.0, 0.028169013559818268, 0.0, 0.0, 0.028169013559818268, 0.0, 0.028169013559818268, 0.0, 0.014084506779909134, 0.0, 0.0]",0,2
