epoch,sample_id,mode,switch_frame,target_frames,generated_frames,length_ratio,mean_accuracy,q0_accuracy,residual_accuracy,per_q_accuracy,first_incorrect_frame,first_q0_incorrect_frame
8,ulsan_000006,normal_ar,0,48,206,4.291666666666667,0.0026041667442768812,0.02083333395421505,0.0013888889302810033,"[0.02083333395421505, 0.0, 0.02083333395421505, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0,1
8,ulsan_000006,forced_gt_length,0,48,48,1.0,0.0026041667442768812,0.02083333395421505,0.0013888889302810033,"[0.02083333395421505, 0.0, 0.02083333395421505, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0,1
8,ulsan_000006,switch_rollout,12,48,48,1.0,0.01302083337213844,0.1041666641831398,0.006944444651405017,"[0.1041666641831398, 0.02083333395421505, 0.0, 0.0, 0.02083333395421505, 0.0, 0.0, 0.0416666679084301, 0.0, 0.0, 0.0, 0.02083333395421505, 0.0, 0.0, 0.0, 0.0]",0,3
8,ulsan_000006,switch_rollout,24,48,48,1.0,0.01692708337213844,0.1041666641831398,0.011111111318071683,"[0.1041666641831398, 0.0625, 0.02083333395421505, 0.02083333395421505, 0.02083333395421505, 0.0, 0.0, 0.02083333395421505, 0.0, 0.0, 0.0, 0.02083333395421505, 0.0, 0.0, 0.0, 0.0]",0,3
8,ulsan_000006,switch_rollout,38,48,48,1.0,0.02473958337213844,0.1458333283662796,0.016666667039195695,"[0.1458333283662796, 0.0625, 0.0416666679084301, 0.0, 0.02083333395421505, 0.0, 0.0416666679084301, 0.02083333395421505, 0.0, 0.0416666679084301, 0.0, 0.02083333395421505, 0.0, 0.0, 0.0, 0.0]",0,3
8,ulsan_000006,teacher_forced,-1,48,48,1.0,0.0494791668606922,0.1458333283662796,0.043055556093653045,"[0.1458333283662796, 0.125, 0.0625, 0.125, 0.0833333358168602, 0.0416666679084301, 0.0625, 0.0416666679084301, 0.0, 0.0, 0.02083333395421505, 0.0416666679084301, 0.0, 0.0, 0.02083333395421505, 0.02083333395421505]",0,3
8,ulsan_000429,normal_ar,0,14,142,10.142857142857142,0.008928571827709675,0.0714285746216774,0.004761904974778493,"[0.0714285746216774, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0714285746216774]",0,1
8,ulsan_000429,forced_gt_length,0,14,14,1.0,0.008928571827709675,0.0714285746216774,0.004761904974778493,"[0.0714285746216774, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0714285746216774]",0,1
8,ulsan_000429,switch_rollout,3,14,14,1.0,0.013392857741564512,0.0714285746216774,0.009523809949556986,"[0.0714285746216774, 0.0, 0.0, 0.0, 0.0714285746216774, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0714285746216774]",0,1
8,ulsan_000429,switch_rollout,4,14,14,1.0,0.013392857741564512,0.0714285746216774,0.009523809949556986,"[0.0714285746216774, 0.0, 0.0, 0.0, 0.0714285746216774, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0714285746216774]",0,1
8,ulsan_000429,switch_rollout,7,14,14,1.0,0.013392857741564512,0.0714285746216774,0.009523809949556986,"[0.0714285746216774, 0.0, 0.0, 0.0, 0.0714285746216774, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0714285746216774]",0,1
8,ulsan_000429,teacher_forced,-1,14,14,1.0,0.03571428684517741,0.0714285746216774,0.03333333432674408,"[0.0714285746216774, 0.0, 0.0, 0.0714285746216774, 0.2142857164144516, 0.0, 0.0, 0.0, 0.0, 0.0714285746216774, 0.0714285746216774, 0.0, 0.0, 0.0714285746216774, 0.0, 0.0]",0,1
