epoch,sample_id,q,frames,exact_accuracy,mean_embedding_distance,wrong_only_embedding_distance,random_pair_distance
10,ulsan_000006,0,48,0.1666666716337204,7.709657192230225,9.251588821411133,14.114415168762207
10,ulsan_000006,1,48,0.1041666641831398,1.761265754699707,1.9660643339157104,4.299781322479248
10,ulsan_000006,2,48,0.0625,1.113412857055664,1.1876401901245117,1.4724929332733154
10,ulsan_000006,3,48,0.0833333358168602,0.7665839791297913,0.8362733721733093,1.108340859413147
10,ulsan_000006,4,48,0.1041666641831398,0.6908895373344421,0.7712255120277405,0.9223368167877197
10,ulsan_000006,5,48,0.0625,0.6153661608695984,0.6563905477523804,0.8032205104827881
10,ulsan_000006,6,48,0.0416666679084301,0.552300751209259,0.576313853263855,0.7136799097061157
10,ulsan_000006,7,48,0.0416666679084301,0.51065993309021,0.5328624844551086,0.6476784348487854
10,ulsan_000006,8,48,0.02083333395421505,0.4805724620819092,0.4907974898815155,0.5922175645828247
10,ulsan_000006,9,48,0.02083333395421505,0.42922425270080566,0.4383567273616791,0.5459945201873779
10,ulsan_000006,10,48,0.0,0.4178731441497803,0.4178731441497803,0.5068403482437134
10,ulsan_000006,11,48,0.02083333395421505,0.3801182210445404,0.388205885887146,0.4751829504966736
10,ulsan_000006,12,48,0.0,0.3793105185031891,0.3793105185031891,0.44645044207572937
10,ulsan_000006,13,48,0.0,0.36219462752342224,0.36219462752342224,0.4209570288658142
10,ulsan_000006,14,48,0.0416666679084301,0.32894444465637207,0.34324637055397034,0.3982647955417633
10,ulsan_000006,15,48,0.02083333395421505,0.31198152899742126,0.31861943006515503,0.3747651278972626
10,ulsan_001843,0,20,0.20000000298023224,8.331615447998047,10.414519309997559,14.114415168762207
10,ulsan_001843,1,20,0.05000000074505806,2.3985180854797363,2.5247559547424316,4.299781322479248
10,ulsan_001843,2,20,0.10000000149011612,1.0920586585998535,1.2133984565734863,1.4724929332733154
10,ulsan_001843,3,20,0.05000000074505806,0.9821252822875977,1.0338160991668701,1.108340859413147
10,ulsan_001843,4,20,0.0,0.8502238392829895,0.8502238392829895,0.9223368167877197
10,ulsan_001843,5,20,0.05000000074505806,0.7040975689888,0.741155207157135,0.8032205104827881
10,ulsan_001843,6,20,0.05000000074505806,0.6483620405197144,0.682486355304718,0.7136799097061157
10,ulsan_001843,7,20,0.05000000074505806,0.5860496759414673,0.6168944835662842,0.6476784348487854
10,ulsan_001843,8,20,0.10000000149011612,0.5102728009223938,0.5669698119163513,0.5922175645828247
10,ulsan_001843,9,20,0.05000000074505806,0.5004183650016785,0.5267561674118042,0.5459945201873779
10,ulsan_001843,10,20,0.05000000074505806,0.4613829255104065,0.48566627502441406,0.5068403482437134
10,ulsan_001843,11,20,0.10000000149011612,0.41895899176597595,0.4655100107192993,0.4751829504966736
10,ulsan_001843,12,20,0.0,0.4211105406284332,0.4211105406284332,0.44645044207572937
10,ulsan_001843,13,20,0.0,0.40824180841445923,0.40824180841445923,0.4209570288658142
10,ulsan_001843,14,20,0.0,0.3770206570625305,0.3770206570625305,0.3982647955417633
10,ulsan_001843,15,20,0.0,0.3471352159976959,0.3471352159976959,0.3747651278972626
10,ulsan_003503,0,72,0.2083333283662796,8.878055572509766,11.214384078979492,14.114415168762207
10,ulsan_003503,1,72,0.1111111119389534,2.0070688724517822,2.2579524517059326,4.299781322479248
10,ulsan_003503,2,72,0.125,1.062467336654663,1.2142482995986938,1.4724929332733154
10,ulsan_003503,3,72,0.1111111119389534,0.9059829711914062,1.019230842590332,1.108340859413147
10,ulsan_003503,4,72,0.1111111119389534,0.7380110621452332,0.8302624225616455,0.9223368167877197
10,ulsan_003503,5,72,0.0555555559694767,0.6695246696472168,0.7089085578918457,0.8032205104827881
10,ulsan_003503,6,72,0.1111111119389534,0.5899553298950195,0.663699746131897,0.7136799097061157
10,ulsan_003503,7,72,0.0833333358168602,0.5461434125900269,0.595792829990387,0.6476784348487854
10,ulsan_003503,8,72,0.0972222238779068,0.4889472723007202,0.5416032075881958,0.5922175645828247
10,ulsan_003503,9,72,0.0555555559694767,0.44825664162635803,0.4746246933937073,0.5459945201873779
10,ulsan_003503,10,72,0.0694444477558136,0.4263865053653717,0.4582063555717468,0.5068403482437134
10,ulsan_003503,11,72,0.0833333358168602,0.4009058177471161,0.437351793050766,0.4751829504966736
10,ulsan_003503,12,72,0.0416666679084301,0.3628065884113312,0.378580778837204,0.44645044207572937
10,ulsan_003503,13,72,0.0694444477558136,0.34854331612586975,0.37455400824546814,0.4209570288658142
10,ulsan_003503,14,72,0.1111111119389534,0.3253789246082306,0.3660512864589691,0.3982647955417633
10,ulsan_003503,15,72,0.0694444477558136,0.30610209703445435,0.3289455473423004,0.3747651278972626
10,ulsan_004854,0,52,0.17307692766189575,9.1637601852417,11.081756591796875,14.114415168762207
10,ulsan_004854,1,52,0.057692307978868484,2.287461042404175,2.4275097846984863,4.299781322479248
10,ulsan_004854,2,52,0.03846153989434242,1.225248098373413,1.274258017539978,1.4724929332733154
10,ulsan_004854,3,52,0.01923076994717121,0.9287132620811462,0.9469231963157654,1.108340859413147
10,ulsan_004854,4,52,0.03846153989434242,0.7985735535621643,0.830516517162323,0.9223368167877197
10,ulsan_004854,5,52,0.01923076994717121,0.7290392518043518,0.743334174156189,0.8032205104827881
10,ulsan_004854,6,52,0.01923076994717121,0.665903627872467,0.6789606213569641,0.7136799097061157
10,ulsan_004854,7,52,0.01923076994717121,0.5940057635307312,0.6056529879570007,0.6476784348487854
10,ulsan_004854,8,52,0.01923076994717121,0.5652121305465698,0.5762947201728821,0.5922175645828247
10,ulsan_004854,9,52,0.0,0.5154350399971008,0.5154350399971008,0.5459945201873779
10,ulsan_004854,10,52,0.0,0.46866270899772644,0.46866270899772644,0.5068403482437134
10,ulsan_004854,11,52,0.01923076994717121,0.44588997960090637,0.45463284850120544,0.4751829504966736
10,ulsan_004854,12,52,0.0,0.4172171950340271,0.4172171950340271,0.44645044207572937
10,ulsan_004854,13,52,0.0,0.4042666554450989,0.4042666554450989,0.4209570288658142
10,ulsan_004854,14,52,0.0,0.3778136968612671,0.3778136968612671,0.3982647955417633
10,ulsan_004854,15,52,0.0,0.34054499864578247,0.34054499864578247,0.3747651278972626
10,ulsan_006234,0,38,0.28947368264198303,7.726391315460205,10.874180793762207,14.114415168762207
10,ulsan_006234,1,38,0.05263157933950424,2.1069982051849365,2.2240536212921143,4.299781322479248
10,ulsan_006234,2,38,0.10526315867900848,1.1954883337020874,1.3361340761184692,1.4724929332733154
10,ulsan_006234,3,38,0.1315789520740509,0.8629399538040161,0.9936884045600891,1.108340859413147
10,ulsan_006234,4,38,0.02631578966975212,0.7837006449699402,0.8048816919326782,0.9223368167877197
10,ulsan_006234,5,38,0.07894736528396606,0.6953629851341248,0.7549654245376587,0.8032205104827881
10,ulsan_006234,6,38,0.02631578966975212,0.6465159058570862,0.6639893054962158,0.7136799097061157
10,ulsan_006234,7,38,0.0,0.6052224040031433,0.6052224040031433,0.6476784348487854
10,ulsan_006234,8,38,0.0,0.5463230013847351,0.5463230013847351,0.5922175645828247
10,ulsan_006234,9,38,0.0,0.5051596164703369,0.5051596164703369,0.5459945201873779
10,ulsan_006234,10,38,0.05263157933950424,0.44621923565864563,0.47100919485092163,0.5068403482437134
10,ulsan_006234,11,38,0.02631578966975212,0.4404729902744293,0.45237767696380615,0.4751829504966736
10,ulsan_006234,12,38,0.02631578966975212,0.4112996459007263,0.4224158525466919,0.44645044207572937
10,ulsan_006234,13,38,0.0,0.40779587626457214,0.40779587626457214,0.4209570288658142
10,ulsan_006234,14,38,0.05263157933950424,0.36863192915916443,0.3891114294528961,0.3982647955417633
10,ulsan_006234,15,38,0.0,0.35682687163352966,0.35682687163352966,0.3747651278972626
10,ulsan_007570,0,32,0.1875,8.936898231506348,10.999260902404785,14.114415168762207
10,ulsan_007570,1,32,0.15625,1.7016854286193848,2.016812324523926,4.299781322479248
10,ulsan_007570,2,32,0.21875,0.9798958897590637,1.2542667388916016,1.4724929332733154
10,ulsan_007570,3,32,0.125,0.7707692980766296,0.8808792233467102,1.108340859413147
10,ulsan_007570,4,32,0.0,0.7626153230667114,0.7626153230667114,0.9223368167877197
10,ulsan_007570,5,32,0.0,0.6701986193656921,0.6701986193656921,0.8032205104827881
10,ulsan_007570,6,32,0.03125,0.5892862677574158,0.6082954406738281,0.7136799097061157
10,ulsan_007570,7,32,0.0,0.5313573479652405,0.5313573479652405,0.6476784348487854
10,ulsan_007570,8,32,0.0,0.5150583982467651,0.5150583982467651,0.5922175645828247
10,ulsan_007570,9,32,0.0625,0.4289383292198181,0.45753422379493713,0.5459945201873779
10,ulsan_007570,10,32,0.0,0.4164454936981201,0.4164454936981201,0.5068403482437134
10,ulsan_007570,11,32,0.03125,0.39959004521369934,0.41248005628585815,0.4751829504966736
10,ulsan_007570,12,32,0.0,0.38820379972457886,0.38820379972457886,0.44645044207572937
10,ulsan_007570,13,32,0.0,0.3697226941585541,0.3697226941585541,0.4209570288658142
10,ulsan_007570,14,32,0.0,0.34376734495162964,0.34376734495162964,0.3982647955417633
10,ulsan_007570,15,32,0.03125,0.3113933503627777,0.3214382529258728,0.3747651278972626
10,ulsan_009117,0,56,0.0892857164144516,9.961161613464355,10.93774700164795,14.114415168762207
10,ulsan_009117,1,56,0.0892857164144516,2.0768961906433105,2.280513286590576,4.299781322479248
10,ulsan_009117,2,56,0.01785714365541935,1.1846524477005005,1.2061914205551147,1.4724929332733154
10,ulsan_009117,3,56,0.01785714365541935,0.9456239938735962,0.9628171324729919,1.108340859413147
10,ulsan_009117,4,56,0.0535714291036129,0.7449025511741638,0.7870668172836304,0.9223368167877197
10,ulsan_009117,5,56,0.0357142873108387,0.700840950012207,0.7267979979515076,0.8032205104827881
10,ulsan_009117,6,56,0.0,0.6436318159103394,0.6436318159103394,0.7136799097061157
10,ulsan_009117,7,56,0.0357142873108387,0.5684913396835327,0.5895465612411499,0.6476784348487854
10,ulsan_009117,8,56,0.0,0.5307208895683289,0.5307208895683289,0.5922175645828247
10,ulsan_009117,9,56,0.0,0.49663129448890686,0.49663129448890686,0.5459945201873779
10,ulsan_009117,10,56,0.0357142873108387,0.45366957783699036,0.47047215700149536,0.5068403482437134
10,ulsan_009117,11,56,0.0357142873108387,0.4078699052333832,0.4229762554168701,0.4751829504966736
10,ulsan_009117,12,56,0.01785714365541935,0.3972901701927185,0.4045136272907257,0.44645044207572937
10,ulsan_009117,13,56,0.0,0.38377636671066284,0.38377636671066284,0.4209570288658142
10,ulsan_009117,14,56,0.0,0.35338395833969116,0.35338395833969116,0.3982647955417633
10,ulsan_009117,15,56,0.0,0.33094143867492676,0.33094143867492676,0.3747651278972626
10,ulsan_010526,0,69,0.14492753148078918,9.205666542053223,10.765950202941895,14.114415168762207
10,ulsan_010526,1,69,0.11594203114509583,1.9117252826690674,2.1624433994293213,4.299781322479248
10,ulsan_010526,2,69,0.08695652335882187,1.1398708820343018,1.2484300136566162,1.4724929332733154
10,ulsan_010526,3,69,0.05797101557254791,0.998576283454895,1.0600271224975586,1.108340859413147
10,ulsan_010526,4,69,0.043478261679410934,0.8191992044448853,0.8564356565475464,0.9223368167877197
10,ulsan_010526,5,69,0.028985507786273956,0.7257558107376099,0.7474201321601868,0.8032205104827881
10,ulsan_010526,6,69,0.08695652335882187,0.6173602938652039,0.6761564016342163,0.7136799097061157
10,ulsan_010526,7,69,0.028985507786273956,0.5911708474159241,0.6088176965713501,0.6476784348487854
10,ulsan_010526,8,69,0.014492753893136978,0.5516949892044067,0.5598081946372986,0.5922175645828247
10,ulsan_010526,9,69,0.0,0.5184856057167053,0.5184856057167053,0.5459945201873779
10,ulsan_010526,10,69,0.043478261679410934,0.47573697566986084,0.4973613917827606,0.5068403482437134
10,ulsan_010526,11,69,0.028985507786273956,0.43916046619415283,0.4522697329521179,0.4751829504966736
10,ulsan_010526,12,69,0.0,0.4158753454685211,0.4158753454685211,0.44645044207572937
10,ulsan_010526,13,69,0.014492753893136978,0.39593565464019775,0.40175825357437134,0.4209570288658142
10,ulsan_010526,14,69,0.028985507786273956,0.3666627109050751,0.37760788202285767,0.3982647955417633
10,ulsan_010526,15,69,0.014492753893136978,0.3384316563606262,0.34340858459472656,0.3747651278972626
10,ulsan_011947,0,26,0.1538461595773697,8.891900062561035,10.5086088180542,14.114415168762207
10,ulsan_011947,1,26,0.0,1.9320790767669678,1.9320790767669678,4.299781322479248
10,ulsan_011947,2,26,0.07692307978868484,1.1374075412750244,1.2321914434432983,1.4724929332733154
10,ulsan_011947,3,26,0.03846153989434242,1.0119069814682007,1.052383303642273,1.108340859413147
10,ulsan_011947,4,26,0.07692307978868484,0.7839552760124207,0.8492847084999084,0.9223368167877197
10,ulsan_011947,5,26,0.0,0.7149162292480469,0.7149162292480469,0.8032205104827881
