sample_id,speaker,other_id,mode,codec_ce,mean_accuracy,q0_accuracy,residual_accuracy,q0_ce,residual_ce,mean_abs_logit_diff,kl_from_correct
ulsan_019127,DKSR20001507_2,ulsan_019128,correct,4.012345343828201,0.23255813121795654,0.6511628031730652,0.20465116202831268,1.060560941696167,4.209130970637004,0.0,0.0
ulsan_019127,DKSR20001507_2,ulsan_019128,zero,4.874712884426117,0.16569767892360687,0.44186046719551086,0.1472868174314499,2.8591368198394775,5.0090846220652265,0.8377294540405273,0.6705753207206726
ulsan_019127,DKSR20001507_2,ulsan_019128,random,5.157748907804489,0.1497092992067337,0.4883720874786377,0.12713178992271423,3.4461495876312256,5.271855529149374,1.0168451070785522,0.9664424657821655
ulsan_019127,DKSR20001507_2,ulsan_019128,shuffled,4.038469225168228,0.23982557654380798,0.6976743936538696,0.20930232107639313,1.0892868041992188,4.235081386566162,0.15096953511238098,0.021894237026572227
ulsan_025113,DKSR20001156_1,ulsan_025116,correct,2.712736576795578,0.47265625,0.6500000357627869,0.460833340883255,1.535352110862732,2.7912288745244345,0.0,0.0
ulsan_025113,DKSR20001156_1,ulsan_025116,zero,3.225470557808876,0.4046874940395355,0.4375,0.4025000035762787,2.423400402069092,3.2789419015248615,0.7246158123016357,0.416954904794693
ulsan_025113,DKSR20001156_1,ulsan_025116,random,3.4127054512500763,0.35859376192092896,0.3499999940395355,0.35916668176651,2.7811777591705322,3.4548072973887125,0.8849189877510071,0.5939021110534668
ulsan_025113,DKSR20001156_1,ulsan_025116,shuffled,2.751281790435314,0.4671874940395355,0.625,0.4566666781902313,1.6272083520889282,2.8262200196584066,0.19635310769081116,0.03511058911681175
ulsan_025423,DKSR20000974_1,ulsan_025422,correct,4.602350145578384,0.19999998807907104,0.5454545021057129,0.17696969211101532,1.971123456954956,4.77776525815328,0.0,0.0
ulsan_025423,DKSR20000974_1,ulsan_025422,zero,5.529244422912598,0.10568181425333023,0.30909091234207153,0.09212121367454529,3.482192277908325,5.665714565912882,0.9193217158317566,0.756575882434845
ulsan_025423,DKSR20000974_1,ulsan_025422,random,5.986226290464401,0.05681817978620529,0.09090908616781235,0.05454545468091965,4.968270778656006,6.054089991251628,1.168402910232544,1.1824826002120972
ulsan_025423,DKSR20000974_1,ulsan_025422,shuffled,4.73773692548275,0.18068180978298187,0.5090909004211426,0.15878787636756897,2.1065094470977783,4.913152090708414,0.32455548644065857,0.1002572774887085
ulsan_015661,DKSR20001202_2,ulsan_015660,correct,4.525450721383095,0.18175287544727325,0.540229856967926,0.15785440802574158,1.87373685836792,4.7022316455841064,0.0,0.0
ulsan_015661,DKSR20001202_2,ulsan_015660,zero,5.49021078646183,0.08836206793785095,0.18390804529190063,0.08199233561754227,3.949223756790161,5.592943255106608,0.9841548800468445,0.8472433686256409
ulsan_015661,DKSR20001202_2,ulsan_015660,random,5.925970494747162,0.07543103396892548,0.2298850566148758,0.06513410061597824,3.9485034942626953,6.057801628112793,1.1849404573440552,1.1875542402267456
ulsan_015661,DKSR20001202_2,ulsan_015660,shuffled,4.588422790169716,0.17528735101222992,0.5057471394538879,0.15325671434402466,2.0395143032073975,4.758350022633871,0.2324046790599823,0.049315184354782104
ulsan_027160,DKSR20000980_2,ulsan_027158,correct,3.5669382140040398,0.3254310190677643,0.7126436829566956,0.29961687326431274,1.4852532148361206,3.7057172139485677,0.0,0.0
ulsan_027160,DKSR20000980_2,ulsan_027158,zero,4.461891144514084,0.2176724076271057,0.41379308700561523,0.20459771156311035,3.206728219985962,4.545568672815959,0.8780755400657654,0.7019547820091248
ulsan_027160,DKSR20000980_2,ulsan_027158,random,4.718942120671272,0.1989942491054535,0.3103448152542114,0.19157087802886963,3.6728949546813965,4.788678598403931,1.0393363237380981,0.9324495792388916
ulsan_027160,DKSR20000980_2,ulsan_027158,shuffled,3.5958353132009506,0.3232758641242981,0.7241379022598267,0.29655173420906067,1.5360829830169678,3.733152135213216,0.14866234362125397,0.01965216174721718
ulsan_002146,DKSR20001144_1,ulsan_002144,correct,4.4377573654055595,0.20096154510974884,0.6307692527770996,0.17230768501758575,1.5616580247879028,4.6294973214467365,0.0,0.0
ulsan_002146,DKSR20001144_1,ulsan_002144,zero,5.4519107192754745,0.11249999701976776,0.3076923191547394,0.09948717802762985,4.216982841491699,5.53423924446106,0.9800780415534973,0.8837847709655762
ulsan_002146,DKSR20001144_1,ulsan_002144,random,6.1029165387153625,0.07596153765916824,0.2153846174478531,0.06666666269302368,6.244763374328613,6.0934600830078125,1.2850171327590942,1.490286111831665
ulsan_002146,DKSR20001144_1,ulsan_002144,shuffled,4.510541491210461,0.19519230723381042,0.5384615659713745,0.17230768501758575,1.7515925168991089,4.694471422831217,0.21282166242599487,0.04901127144694328
ulsan_001213,DKSR20001094_2,ulsan_001208,correct,4.330398544669151,0.20588235557079315,0.47058823704719543,0.1882353127002716,2.572706699371338,4.447578001022339,0.0,0.0
ulsan_001213,DKSR20001094_2,ulsan_001208,zero,5.36933821439743,0.11764705926179886,0.29411765933036804,0.10588236153125763,4.618709087371826,5.4193801561991375,1.0192787647247314,0.8890140056610107
ulsan_001213,DKSR20001094_2,ulsan_001208,random,5.602081686258316,0.11397058516740799,0.23529411852359772,0.10588236153125763,5.127974510192871,5.633688831329346,1.1194133758544922,1.0392941236495972
ulsan_001213,DKSR20001094_2,ulsan_001208,shuffled,4.419666573405266,0.1985294073820114,0.529411792755127,0.1764705926179886,2.433852195739746,4.552054198582967,0.2898336946964264,0.07900716364383698
ulsan_020005,DKSR20001510_1,ulsan_020001,correct,4.773197427392006,0.171875,0.390625,0.15729168057441711,2.434805393218994,4.929090229670207,0.0,0.0
ulsan_020005,DKSR20001510_1,ulsan_020001,zero,5.697074204683304,0.078125,0.171875,0.07187500596046448,4.50380802154541,5.776625283559164,0.9194622039794922,0.7694112062454224
ulsan_020005,DKSR20001510_1,ulsan_020001,random,5.970612198114395,0.060546875,0.125,0.05625000223517418,5.501785755157471,6.001867294311523,1.0940618515014648,1.0566949844360352
ulsan_020005,DKSR20001510_1,ulsan_020001,shuffled,4.81822469830513,0.158203125,0.359375,0.14479167759418488,2.6065759658813477,4.965667947133382,0.22168706357479095,0.04811421409249306
ulsan_020531,DKSR20001512_2,ulsan_020527,correct,4.319704987108707,0.204861119389534,0.5833333134651184,0.1796296238899231,1.604948878288269,4.500688727696737,0.0,0.0
ulsan_020531,DKSR20001512_2,ulsan_020527,zero,5.226731687784195,0.1215277761220932,0.3611111044883728,0.10555555671453476,3.930650472640991,5.313137102127075,0.9194185733795166,0.7896711826324463
ulsan_020531,DKSR20001512_2,ulsan_020527,random,5.568807780742645,0.1041666641831398,0.3055555522441864,0.09074074029922485,4.358110427856445,5.649520937601725,1.094877004623413,1.0641217231750488
ulsan_020531,DKSR20001512_2,ulsan_020527,shuffled,4.404419027268887,0.1822916716337204,0.5277777910232544,0.15925925970077515,1.6962262392044067,4.584965213139852,0.249179869890213,0.05716942623257637
ulsan_022415,DKSR20001570_1,ulsan_022381,correct,4.373599246144295,0.19680850207805634,0.5319148898124695,0.17446808516979218,1.880061388015747,4.539835103352865,0.0,0.0
ulsan_022415,DKSR20001570_1,ulsan_022381,zero,5.350346952676773,0.09973403811454773,0.23404254019260406,0.09078013896942139,3.5287890434265137,5.47178414662679,0.9149157404899597,0.7498555183410645
ulsan_022415,DKSR20001570_1,ulsan_022381,random,5.867320388555527,0.0731382966041565,0.1702127605676651,0.06666666269302368,4.830943584442139,5.936412175496419,1.1846566200256348,1.205201268196106
ulsan_022415,DKSR20001570_1,ulsan_022381,shuffled,4.446709915995598,0.1914893537759781,0.5106382966041565,0.1702127605676651,1.974604845046997,4.611516920725505,0.22728919982910156,0.05210056155920029
